,,mean,std,min,max,median,q1,q3
ClosedHH,Statistical::Vel Similarity Score,0.954,0.033,0.0,0.998,0.957,0.943,0.969
ClosedHH,Statistical::Weak to Strong Ratio,1.709,2.679,0.0,15.65,0.901,0.0,2.2
ClosedHH,Statistical::Poly Velocity Mean,0.447,0.073,0.276,0.661,0.444,0.39,0.497
ClosedHH,Statistical::Poly Velocity std,0.089,0.032,0.006,0.196,0.089,0.067,0.11
ClosedHH,Statistical::Poly Offset Mean,-0.107,0.034,-0.193,-0.025,-0.109,-0.134,-0.076
ClosedHH,Statistical::Poly Offset std,0.025,0.01,0.002,0.058,0.023,0.017,0.031
ClosedHH,Syncopation::Combined,0.161,0.158,0.0,0.6,0.1,0.0,0.267
ClosedHH,Syncopation::Polyphonic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH,Syncopation::Lowsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH,Syncopation::Midsync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH,Syncopation::Hisync,0.116,0.114,0.0,0.4,0.067,0.0,0.2
ClosedHH,Syncopation::Lowsyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH,Syncopation::Midsyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClosedHH,Syncopation::Hisyness,0.011,0.014,0.0,0.044,0.005,0.0,0.015
ClosedHH,Syncopation::Complexity,0.527,0.247,0.125,1.042,0.479,0.365,0.68
ClosedHH,Auto-Correlation::Skewness,1.373,0.845,-0.001,3.402,1.424,0.769,2.042
ClosedHH,Auto-Correlation::Max,3.105,2.067,0.451,11.17,2.435,1.792,3.577
ClosedHH,Auto-Correlation::Centroid,9.127,0.724,5.383,10.876,9.317,8.742,9.605
ClosedHH,Auto-Correlation::Harmonicity,0.196,0.304,0.0,1.0,0.066,0.007,0.188
ClosedHH,Micro-Timing::Swingness,0.0,0.001,0.0,0.019,0.0,0.0,0.0
ClosedHH,Micro-Timing::Laidbackness,0.225,0.157,0.0,0.75,0.25,0.0,0.375
ClosedHH,Micro-Timing::Accuracy,0.114,0.03,0.027,0.193,0.115,0.092,0.137
Kicks & Snares (GT),Statistical::NoI,1.347,0.476,1.0,2.0,1.0,1.0,2.0
Kicks & Snares (GT),Statistical::Total Step Density,0.375,0.236,0.031,1.0,0.312,0.219,0.5
Kicks & Snares (GT),Statistical::Avg Voice Density,0.044,0.031,0.003,0.167,0.035,0.024,0.056
Kicks & Snares (GT),Statistical::Lowness,0.488,0.417,0.0,1.0,0.439,0.0,1.0
Kicks & Snares (GT),Statistical::Midness,0.512,0.417,0.0,1.0,0.561,0.0,1.0
Kicks & Snares (GT),Statistical::Hiness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kicks & Snares (GT),Statistical::Vel Similarity Score,0.829,0.278,0.0,1.0,0.933,0.843,0.976
Kicks & Snares (GT),Statistical::Weak to Strong Ratio,2.157,6.33,0.0,234.6,1.132,0.307,2.295
Kicks & Snares (GT),Statistical::Poly Velocity Mean,0.607,0.246,0.083,1.0,0.572,0.397,0.828
